iter	Passed	Remaining
0	9	9487
1	18	9034
2	27	9063
3	36	9196
4	46	9294
5	56	9422
6	66	9386
7	75	9394
8	85	9386
9	94	9311
10	103	9274
11	111	9195
12	120	9154
13	129	9103
14	137	9047
15	146	9010
16	154	8925
17	162	8864
18	172	8888
19	180	8858
20	189	8819
21	198	8845
22	207	8809
23	215	8781
24	224	8749
25	232	8725
26	241	8697
27	249	8658
28	257	8633
29	265	8595
30	273	8552
31	281	8519
32	289	8480
33	297	8448
34	306	8445
35	313	8405
36	322	8384
37	330	8354
38	337	8325
39	345	8284
40	353	8260
41	361	8237
42	369	8213
43	376	8185
44	384	8160
45	392	8144
46	400	8126
47	409	8113
48	417	8110
49	425	8093
50	433	8068
51	441	8045
52	449	8033
53	457	8017
54	465	8001
55	473	7975
56	480	7957
57	489	7942
58	496	7920
59	504	7896
60	511	7871
61	519	7855
62	526	7837
63	534	7821
64	543	7812
65	550	7788
66	557	7768
67	565	7748
68	572	7730
69	580	7715
70	588	7701
71	595	7680
72	603	7664
73	611	7647
74	618	7626
75	625	7608
76	633	7599
77	642	7599
78	650	7586
79	658	7574
80	666	7557
81	674	7552
82	681	7531
83	689	7515
84	696	7500
85	703	7481
86	711	7468
87	718	7450
88	726	7440
89	734	7428
90	742	7414
91	750	7405
92	758	7397
93	766	7386
94	773	7371
95	782	7363
96	790	7355
97	797	7342
98	805	7332
99	813	7319
100	821	7312
101	829	7302
102	837	7293
103	845	7283
104	853	7278
105	861	7267
106	869	7256
107	876	7241
108	884	7232
109	892	7222
110	900	7213
111	908	7199
112	915	7186
113	923	7176
114	931	7169
115	939	7161
116	947	7150
117	955	7139
118	962	7127
119	970	7116
120	978	7106
121	986	7099
122	994	7087
123	1002	7080
124	1009	7067
125	1017	7058
126	1024	7045
127	1032	7036
128	1041	7029
129	1048	7020
130	1056	7007
131	1064	6999
132	1071	6985
133	1079	6973
134	1086	6964
135	1094	6956
136	1102	6946
137	1110	6936
138	1118	6928
139	1125	6916
140	1133	6905
141	1142	6901
142	1150	6892
143	1157	6882
144	1165	6872
145	1173	6863
146	1181	6853
147	1188	6843
148	1196	6834
149	1204	6826
150	1212	6815
151	1220	6807
152	1227	6796
153	1236	6791
154	1243	6781
155	1251	6770
156	1259	6760
157	1266	6750
158	1274	6742
159	1282	6733
160	1290	6725
161	1298	6718
162	1306	6708
163	1314	6698
164	1321	6687
165	1330	6685
166	1338	6677
167	1346	6667
168	1354	6658
169	1362	6650
170	1370	6642
171	1377	6632
172	1385	6624
173	1393	6613
174	1400	6601
175	1408	6592
176	1415	6582
177	1421	6563
178	1428	6552
179	1436	6544
180	1444	6535
